id,score,decision,flags,diffs
1,30,block,number_mismatch_pdf_vs_record;date_mismatch_pdf_vs_record;title_mismatch_pdf_vs_record,number:1-03-194→1-11-170;date:2003-09-11→2011-10-26;title_fr:Dahir n° 1-03-194 du 14 rejeb 1424 (11 septembre 2003) portant promulgation de la loi n° 65-99 relative au Code du travail.→LOI N° 65.99 FORMANT CODE DU
3,30,block,audited_without_source_pdf;type_mismatch_pdf_vs_record;title_mismatch_pdf_vs_record,"type:Dahir→Loi organique;title_fr:Dahir n° 1-15-83 du 20 ramadan 1436 (7 juillet 2015) portant promulgation de la loi organique n° 111-14 relative aux régions.→Constitution, la présente loi organique fixe :"
4,30,block,audited_without_source_pdf;type_mismatch_pdf_vs_record;title_mismatch_pdf_vs_record,"type:Dahir→Loi organique;title_fr:Dahir n° 1-15-85 du 20 ramadan 1436 (7 juillet 2015) portant promulgation de la loi organique n° 113-14 relative aux communes.→Conformément aux dispositions de l’article 146 de la.: Constitution, la présente loi organique fixe :"
5,30,block,audited_without_source_pdf;type_mismatch_pdf_vs_record;title_mismatch_pdf_vs_record,"type:Dahir→Loi organique;title_fr:Dahir n° 1-15-84 du 20 ramadan 1436 (7 juillet 2015) portant promulgation de la loi organique n° 112-14 relative aux préfectures et provinces.→Constitution, la présente loi organique fixe :"
6,65,review_high_priority,audited_without_source_pdf;title_mismatch_pdf_vs_record,"type:Loi→Loi organique;title_fr:Constitution du Royaume du Maroc→La Cour Constitutionnelle est compétente pour connaître d'une exception d’inconstitutionnalité soulevée au cours d’un procès, lorsqu'il est soutenu par l’une des parties que la loi dont dépend l’issue"
