number,title_fr,title_ar,type,date,domain_id,source_url,source_name,language,bo_number,bo_date,status,tags
65-99,"Loi n°65-99 relative au Code du Travail","القانون رقم 65.99 بمثابة مدونة الشغل",Loi,2003-09-11,travail,https://www.sgg.gov.ma/Docs/BO/2003/BO_5210_Fr.pdf,sgg,Bilingue,5210,2003-09-06,En vigueur,"travail;code du travail;salarié;contrat de travail"
15-95,"Loi n°15-95 formant Code de Commerce","القانون رقم 15.95 المتعلق بمدونة التجارة",Loi,1996-08-01,commercial,https://www.sgg.gov.ma/Docs/BO/1996/BO_4418_Fr.pdf,sgg,Bilingue,4418,1996-07-08,En vigueur,"commerce;code de commerce;sociétés;commerçant"
17-99,"Code des assurances (Loi n°17-99)","القانون رقم 17.99 المتعلق بمدونة التأمينات",Loi,2002-10-03,commercial,https://www.sgg.gov.ma/Docs/BO/2002/BO_5054_Fr.pdf,sgg,Bilingue,5054,2002-10-03,En vigueur,"assurance;assurances;contrat d'assurance"
