id,number,norm_number,title_fr,stored_date,stored_year,expected_year,problem,auto_fixable
2432,1.75.102,1-75-102,Décret n° 1.75.102 relatif à la fourniture de tenues de travail à certains agent,2001-04-13,2001,1975,date 2001 ≠ année dans numéro (1975),False
2433,1.98.166,1-98-166,Convention n°1.98.166 relative à la coopération juridique et judiciaire en matiè,2001-04-10,2001,1998,date 2001 ≠ année dans numéro (1998),False
2439,1.94.295,1-94-295,Convention de coopération judiciaire et d'échange d'informations juridiques en m,2001-02-15,2001,1994,date 2001 ≠ année dans numéro (1994),False
2440,1.76.393,1-76-393,Dahir portant loi relatif à l'aménagement et à l'exploitation touristique de la ,2001-02-15,2001,1976,date 2001 ≠ année dans numéro (1976),False
2445,2.98.975,2-98-975,Décret n° 2-98-975 relatif à la protection des travailleurs exposés aux poussièr,2001-01-23,2001,1998,date 2001 ≠ année dans numéro (1998),False
2448,1.93.361,1-93-361,Convention n°1.93.361 relative à l'élimination de toutes les formes de discrimin,2000-12-26,2000,1993,date 2000 ≠ année dans numéro (1993),False
2449,1.96.13,1-96-13,Convention consulaire entre le Gouvernement du Royaume du Maroc et le Gouverneme,2000-11-07,2000,1996,date 2000 ≠ année dans numéro (1996),False
2467,2.15.99,2-15-99,Décret n°2.15.99 fixant les contingents du Wissam Al Arch et du Wissam Al Istihk,2000-06-05,2000,2015,date 2000 ≠ année dans numéro (2015),False
2468,2.05.79,2-05-79,Décret n° 2.05.79 fixant les quotas des Wissams Al Arch et du Mérite National pr,2000-06-05,2000,2005,date 2000 ≠ année dans numéro (2005),False
2475,2.77.83,2-77-83,Décret n° 2.77.83 relatif au statut particulier du corps des sapeurs-pompiers,2000-05-10,2000,1977,date 2000 ≠ année dans numéro (1977),False
2493,1.63.194,1-63-194,Décret n° 1.63.194 fixant les attributions et l'organisation du Secrétariat d'Ét,1999-12-08,1999,1963,date 1999 ≠ année dans numéro (1963),False
2518,1.75.291,1-75-291,Décret n° 1.75.291 relatif au contrôle des produits de viande préparés,1999-05-05,1999,1975,date 1999 ≠ année dans numéro (1975),False
2519,2.05.1473,2-05-1473,Décret n°2.05.1473 instituant une rémunération pour les services rendus par le M,1999-04-26,1999,2005,date 1999 ≠ année dans numéro (2005),False
2527,2.62.240,2-62-240,Décret n° 2.62.240 portant application du Dahir relatif au remembrement des terr,1999-01-06,1999,1962,date 1999 ≠ année dans numéro (1962),False
2529,1.75.451,1-75-451,Décret n° 1.75.451 portant application du code de déontologie des chirurgiens-de,1999-01-05,1999,1975,date 1999 ≠ année dans numéro (1975),False
2533,2.03.694,2-03-694,Décret n° 2.03.694 portant ouverture de crédits supplémentaires au profit du bud,1998-11-26,1998,2003,date 1998 ≠ année dans numéro (2003),False
2534,2.08.361,2-08-361,Décret n° 2.08.361 relatif à l'ouverture de crédits supplémentaires au profit du,1998-11-26,1998,2008,date 1998 ≠ année dans numéro (2008),False
2535,2-08-570,2-08-570,Décret n° 2.08.570 instituant une redevance pour les services du Ministère de l',1998-11-26,1998,2008,date 1998 ≠ année dans numéro (2008),False
2564,1.59.446,1-59-446,Convention n°1.59.446 relative à l'extradition des délinquants étrangers et à la,1997-07-07,1997,1959,date 1997 ≠ année dans numéro (1959),False
2582,1.77.61,1-77-61,Dahir portant loi relatif aux pensions militaires d'invalidité,1997-02-24,1997,1977,date 1997 ≠ année dans numéro (1977),False
2596,1.93.362,1-93-362,"Convention contre la torture et autres peines ou traitements cruels, inhumains o",1996-11-21,1996,1993,date 1996 ≠ année dans numéro (1993),False
2597,1.93.363,1-93-363,Convention n°1.93.363 relative aux droits de l'enfant,1996-11-21,1996,1993,date 1996 ≠ année dans numéro (1993),False
2599,1.76.583,1-76-583,Décret n° 1-76-583 fixant les communes urbaines constituant les agglomérations u,1996-11-20,1996,1976,date 1996 ≠ année dans numéro (1976),False
2603,2-73-531,2-73-531,Décret n° 2.73.531 accordant une indemnité pour frais de distribution d'appels t,1996-11-11,1996,1973,date 1996 ≠ année dans numéro (1973),False
2610,1.93.213,1-93-213,Décret n° 1.93.213 autorisant la Banque Nationale pour le Développement Économiq,1996-07-31,1996,1993,date 1996 ≠ année dans numéro (1993),False
2648,1.72.255,1-72-255,"Dahir portant réglementation de l'importation, de l'exportation, du raffinage, d",1995-08-04,1995,1972,date 1995 ≠ année dans numéro (1972),False
2662,1.73.323,1-73-323,Décret n° 1.73.323 instituant une taxe parafiscale à l'importation destinée au f,1994-12-31,1994,1973,date 1994 ≠ année dans numéro (1973),False
2722,2.56.248,2-56-248,Décret n° 2.56.248 relatif à l'organisation des services médicaux du travail,1993-06-16,1993,1956,date 1993 ≠ année dans numéro (1956),False
2723,1.89.10,1-89-10,"Convention n°1.89.10 relative à la coopération judiciaire, aux notifications et ",1993-05-28,1993,1989,date 1993 ≠ année dans numéro (1989),False
2724,1.85.210,1-85-210,Convention n°1.85.210 relative à l'assistance aux détenus et au transfèrement de,1993-05-28,1993,1985,date 1993 ≠ année dans numéro (1985),False
2739,2.90.352,2-90-352,Décret n° 2-90-352 portant création du Conseil national de l'énergie nucléaire,1993-05-05,1993,1990,date 1993 ≠ année dans numéro (1990),False
2744,2.90.574,2-90-574,Décret n° 2-90-574 relatif au statut particulier du personnel des chambres d'agr,1993-04-29,1993,1990,date 1993 ≠ année dans numéro (1990),False
2745,2.90.934,2-90-934,Décret n° 2-90-934 portant statut particulier du personnel du ministère de l'Éne,1993-04-29,1993,1990,date 1993 ≠ année dans numéro (1990),False
2748,2.90.881,2-90-881,"Décret n° 2-90-881 transférant au ministère des Travaux publics, de la Formation",1993-02-26,1993,1990,date 1993 ≠ année dans numéro (1990),False
2750,2.90.935,2-90-935,Décret n° 2.90.935 relatif au concours d'agrégation pour l'enseignement secondai,1993-02-24,1993,1990,date 1993 ≠ année dans numéro (1990),False
2802,1.60.126,1-60-126,Dahir portant réglementation des forêts et de leur exploitation,1990-12-31,1990,1960,date 1990 ≠ année dans numéro (1960),False
2825,1.93.519,1-93-519,Dahir portant création du Conseil consultatif des droits de l'Homme,1990-04-20,1990,1993,date 1990 ≠ année dans numéro (1993),False
2830,1.75.116,1-75-116,Décret n° 2-75-83 du 27 safar 1395 (10 mars 1975) pris pour l'application du dah,1990-01-16,1990,1975,date 1990 ≠ année dans numéro (1975),False
2831,1.73.210,1-73-210,Décret n° 1.73.210 portant application du dahir portant loi n° 1.73.210 relatif ,1990-01-08,1990,1973,date 1990 ≠ année dans numéro (1973),False
2840,2.86.808,2-86-808,Décret n° 2.86.808 étendant aux créances dues par l'État à certains établissemen,1989-12-18,1989,1986,date 1989 ≠ année dans numéro (1986),False
2845,2.84.193,2-84-193,Décret n° 2.84.193 fixant les conditions d'accès aux académies et établissements,1989-10-30,1989,1984,date 1989 ≠ année dans numéro (1984),False
2883,1.73.408,1-73-408,Décret n° 1.73.408 relatif à la convocation du Parlement en session extraordinai,1987-12-30,1987,1973,date 1987 ≠ année dans numéro (1973),False
2887,1.73.366,1-73-366,Décret n° 1.73.366 fixant les conditions de gestion de l'assurance-crédit à l'ex,1987-10-13,1987,1973,date 1987 ≠ année dans numéro (1973),False
2891,2.84.194,2-84-194,Décret n° 2.84.194 fixant les circonscriptions territoriales des conservations f,1987-09-15,1987,1984,date 1987 ≠ année dans numéro (1984),False
2894,2.83.659,2-83-659,Décret n° 2.83.659 autorisant la vente de biens immobiliers domaniaux aux foncti,1987-08-18,1987,1983,date 1987 ≠ année dans numéro (1983),False
2903,2.83.645,2-83-645,Décret n°2.83.645 relatif au régime des études et des examens pour l'obtention d,1987-05-14,1987,1983,date 1987 ≠ année dans numéro (1983),False
2904,2.83.888,2-83-888,Décret n° 2.83.888 relatif aux conditions d'intégration des inspecteurs et inspe,1987-04-06,1987,1983,date 1987 ≠ année dans numéro (1983),False
2905,2.84.147,2-84-147,Décret n° 2.84.147 relatif aux indemnités allouées aux fonctionnaires de la plan,1987-03-26,1987,1984,date 1987 ≠ année dans numéro (1984),False
2909,2.84.188,2-84-188,Décret n° 2.84.188 relatif au statut particulier du personnel du ministère charg,1987-02-03,1987,1984,date 1987 ≠ année dans numéro (1984),False
2919,2.76.84,2-76-84,Décret n° 2.76.84 relatif à l'alimentation des militaires en service dans les pr,1986-12-24,1986,1976,date 1986 ≠ année dans numéro (1976),False
2920,2.99.90,2-99-90,Décret n° 2.99.90 relatif à la dotation en vêtements de travail de certaines cat,1986-12-02,1986,1999,date 1986 ≠ année dans numéro (1999),False
2923,2.77.74,2-77-74,Décret n°2.77.74 relatif à l'octroi d'une indemnité technique à certaines catégo,1986-12-02,1986,1977,date 1986 ≠ année dans numéro (1977),False
2924,1.83.197,1-83-197,Convention n°1.83.197 relative au statut des personnes et de la famille et à la ,1986-11-14,1986,1983,date 1986 ≠ année dans numéro (1983),False
2927,1.82.324,1-82-324,Convention n°1.82.324 relative à la coopération judiciaire en matière civile et ,1986-11-14,1986,1982,date 1986 ≠ année dans numéro (1982),False
2939,2.83.642,2-83-642,Décret n°2.83.642 relatif à la détermination du régime des études et des examens,1986-02-18,1986,1983,date 1986 ≠ année dans numéro (1983),False
2969,2.76.313,2-76-313,Décret n° 2.76.313 fixant le régime des études et des examens pour l'obtention d,1985-02-15,1985,1976,date 1985 ≠ année dans numéro (1976),False
2976,2-63-364,2-63-364,Décret n° 2.63.364 relatif à l'agrément des entrepreneurs de transport public ro,1985-01-29,1985,1963,date 1985 ≠ année dans numéro (1963),False
2978,2.81.180,2-81-180,Décret n° 2.81.180 instituant une taxe parafiscale sur la viande casher au profi,1985-01-29,1985,1981,date 1985 ≠ année dans numéro (1981),False
2982,2.82.327,2-82-327,"Décret n° 2.82.327 fixant les tarifs de vente des publications, produits et serv",1985-01-29,1985,1982,date 1985 ≠ année dans numéro (1982),False
2983,1.73.250,1-73-250,Décret n°1.73.250 portant application du Dahir n°1.73.250 instituant un Conseil ,1985-01-23,1985,1973,date 1985 ≠ année dans numéro (1973),False
2986,2.82.416,2-82-416,Décret n° 2.82.416 relatif aux instituts de musique et des arts chorégraphiques,1985-01-18,1985,1982,date 1985 ≠ année dans numéro (1982),False
3029,2.57.1841,2-57-1841,"Décret n° 2.57.1841 fixant les salaires des fonctionnaires, auxiliaires et stagi",1983-09-02,1983,1957,date 1983 ≠ année dans numéro (1957),False
3041,2.58.1214,2-58-1214,Décret n° 2.58.1214 relatif aux modalités d'application du dahir du 1er Chaabane,1983-04-04,1983,1958,date 1983 ≠ année dans numéro (1958),False
3043,2.79.722,2-79-722,"Dahir portant création d'une commission nationale de l'éducation, de la science ",1983-04-04,1983,1979,date 1983 ≠ année dans numéro (1979),False
3051,2.89.328,2-89-328,Décret n° 2.89.328 fixant les conditions d'accès à la première année des faculté,1983-01-31,1983,1989,date 1983 ≠ année dans numéro (1989),False
3055,1.73.413,1-73-413,Dahir portant loi relatif aux mesures d'encouragement des investissements indust,1983-01-19,1983,1973,date 1983 ≠ année dans numéro (1973),False
3062,2.00.354,2-00-354,Décret n° 2.00.354 relatif à l'octroi de subventions financières dans les domain,1982-12-31,1982,2000,date 1982 ≠ année dans numéro (2000),False
3076,1.76.636,1-76-636,Dahir portant statut du personnel des entreprises minières,1982-05-06,1982,1976,date 1982 ≠ année dans numéro (1976),False
3096,1.84.22,1-84-22,"Convention de coopération judiciaire en matière civile, commerciale et administr",1981-04-30,1981,1984,date 1981 ≠ année dans numéro (1984),False
3150,2.75.666,2-75-666,Décret n° 2.75.666 fixant le régime des indemnités des enseignants-chercheurs de,1979-08-08,1979,1975,date 1979 ≠ année dans numéro (1975),False
3189,2.81.864,2-81-864,Décret n°2.81.864 relatif à la désignation des centres où la taxe urbaine est ap,1977-12-30,1977,1981,date 1977 ≠ année dans numéro (1981),False
3202,1.83.11,1-83-11,Décret n° 1.83.11 relatif aux membres correspondants de l'Académie du Royaume du,1977-10-08,1977,1983,date 1977 ≠ année dans numéro (1983),False
3226,1.72.509,1-72-509,Dahir portant loi relatif à la suppression du Haut-Commissariat à la reconstruct,1977-09-19,1977,1972,date 1977 ≠ année dans numéro (1972),False
3235,1.74.384,1-74-384,Dahir portant loi relatif au statut de l'enseignement libre des arts,1977-09-19,1977,1974,date 1977 ≠ année dans numéro (1974),False
3242,2.72.275,2-72-275,Décret n° 2.72.275 portant création de la Commission nationale de prévention des,1977-07-15,1977,1972,date 1977 ≠ année dans numéro (1972),False
3264,1.73.560,1-73-560,Décret n° 1.73.560 portant application du dahir portant loi n° 1.73.560 relatif ,1977-03-21,1977,1973,date 1977 ≠ année dans numéro (1973),False
3268,1.61.116,1-61-116,Dahir portant loi n° 1.61.116 relatif à l'organisation des élections des délégué,1977-01-17,1977,1961,date 1977 ≠ année dans numéro (1961),False
3288,1.73.398,1-73-398,Dahir portant loi relatif à la création des universités,1976-10-22,1976,1973,date 1976 ≠ année dans numéro (1973),False
3320,2.81.347,2-81-347,Décret n°2.81.347 fixant le régime des études et des examens pour l'obtention du,1975-10-17,1975,1981,date 1975 ≠ année dans numéro (1981),False
3323,2.78.452,2-78-452,Décret n° 2.78.452 relatif à la réforme du régime des études et des examens pour,1975-10-17,1975,1978,date 1975 ≠ année dans numéro (1978),False
3347,2.84.281,2-84-281,Décret n° 2.84.281 fixant le régime des études et des examens pour l'obtention d,1975-02-25,1975,1984,date 1975 ≠ année dans numéro (1984),False
3378,1.93.47,1-93-47,Dahir n° 1.93.47 portant loi abrogeant le dahir n° 1.73.210 portant loi relatif ,1974-04-04,1974,1993,date 1974 ≠ année dans numéro (1993),False
3381,1.63.213,1-63-213,Décret n°1.63.213 portant application dans la province d'El Jadida du dahir n°1.,1974-03-05,1974,1963,date 1974 ≠ année dans numéro (1963),False
3392,2.78.15,2-78-15,Décret n° 2.78.15 portant émission d'une série de trois timbres-poste représenta,1974-01-08,1974,1978,date 1974 ≠ année dans numéro (1978),False
3404,2-80-603,2-80-603,Décret n° 2-80-603 du 28 safar 1401 (5 janvier 1981) pris pour l'application de ,1973-12-31,1973,1980,date 1973 ≠ année dans numéro (1980),False
3436,12.58.1151,12-58-1151,Loi n° 12.58.1151 relative aux mesures d'encouragement des investissements touri,1973-08-13,1973,1958,date 1973 ≠ année dans numéro (1958),False
3438,1.60.383,1-60-383,Loi n° 1.60.383 abrogeant le dahir n° 1.60.383 relatif aux mesures d'encourageme,1973-08-13,1973,1960,date 1973 ≠ année dans numéro (1960),False
3439,2.58.1151,2-58-1151,Loi n° 2.58.1151 relative aux mesures d'encouragement des investissements mariti,1973-08-13,1973,1958,date 1973 ≠ année dans numéro (1958),False
3447,2.82.648,2-82-648,Décret n° 2.82.648 accordant la garantie de l'État aux emprunts émis par les éta,1973-05-21,1973,1982,date 1973 ≠ année dans numéro (1982),False
3452,1.76.386,1-76-386,Dahir portant loi fixant les conditions et modalités d'intégration des militaire,1973-04-04,1973,1976,date 1973 ≠ année dans numéro (1976),False
3475,2-75-464,2-75-464,Décret n° 2.75.464 relatif aux attributions et à l'organisation du Ministère d'É,1972-11-20,1972,1975,date 1972 ≠ année dans numéro (1975),False
3476,2.75.841,2-75-841,Décret n° 2.75.841 relatif aux attributions et à l'organisation du ministère des,1972-11-20,1972,1975,date 1972 ≠ année dans numéro (1975),False
3479,1.62.329,1-62-329,Dahir portant loi fixant l'application à titre transitoire des dispositions du d,1972-10-06,1972,1962,date 1972 ≠ année dans numéro (1962),False
3481,2.81.809,2-81-809,Loi de finances n° 2.81.809 pour l'année 1982,1972-09-20,1972,1981,date 1972 ≠ année dans numéro (1981),False
3483,2.75.96,2-75-96,Décret n° 2.75.96 fixant les tarifs d'abonnement aux deux éditions du « Bulletin,1972-09-18,1972,1975,date 1972 ≠ année dans numéro (1975),False
3484,2.93.979,2-93-979,Décret n° 2.93.979 relatif à l'ouverture des crédits nécessaires au fonctionneme,1972-09-18,1972,1993,date 1972 ≠ année dans numéro (1993),False
3485,2.82.690,2-82-690,Décret n° 2.82.690 autorisant le Centre national de documentation à réaliser et ,1972-09-18,1972,1982,date 1972 ≠ année dans numéro (1982),False
3486,2.93.980,2-93-980,Décret n° 2.93.980 relatif au recouvrement de certaines ressources pour l'année ,1972-09-18,1972,1993,date 1972 ≠ année dans numéro (1993),False
3487,2.79.337,2-79-337,Décret n° 2.79.337 relatif à l'organisation et à la fixation des redevances aéro,1972-09-18,1972,1979,date 1972 ≠ année dans numéro (1979),False
3488,2.81.633,2-81-633,Décret n° 2.81.633 dispensant de frais de publication au Bulletin officiel certa,1972-09-18,1972,1981,date 1972 ≠ année dans numéro (1981),False
3489,2.81.223,2-81-223,Décret n° 2-81-223 fixant les taxes applicables aux envois de la poste aux lettr,1972-09-18,1972,1981,date 1972 ≠ année dans numéro (1981),False
3490,2.75.190,2-75-190,Décret n° 2.75.190 fixant les montants des surtaxes aériennes applicables aux co,1972-09-18,1972,1975,date 1972 ≠ année dans numéro (1975),False
3496,2.78.622,2-78-622,Décret n° 2.78.622 fixant le montant des allocations familiales versées par la C,1972-07-27,1972,1978,date 1972 ≠ année dans numéro (1978),False
3498,1.61.266,1-61-266,Dahir portant création de l'Office national des anciens combattants,1972-07-27,1972,1961,date 1972 ≠ année dans numéro (1961),False
3500,1.59.363,1-59-363,Dahir portant création d'une nouvelle unité monétaire,1972-07-27,1972,1959,date 1972 ≠ année dans numéro (1959),False
3571,1.60.007,1-60-007,Dahir portant prorogation du mandat des représentants des employés au sein des c,1970-07-31,1970,1960,date 1970 ≠ année dans numéro (1960),False
3583,1.63.289,1-63-289,Dahir portant détermination des conditions de récupération par l'État des terres,1970-07-27,1970,1963,date 1970 ≠ année dans numéro (1963),False
3603,2.66.646,2-66-646,Décret n° 2.66.646 du 21 kaada 1389 (29 janvier 1970) portant application du dah,1970-01-01,1970,1966,date 1970 ≠ année dans numéro (1966),False
3614,2.63.231,2-63-231,Dahir portant prorogation du mandat des membres des conseils communaux,1969-07-25,1969,1963,date 1969 ≠ année dans numéro (1963),False
3615,1.75.137,1-75-137,Dahir portant déclaration d'utilité publique de l'aménagement foncier et de la c,1969-07-25,1969,1975,date 1969 ≠ année dans numéro (1975),False
3618,1.76.472,1-76-472,Dahir portant réglementation de la production et de la commercialisation des sem,1969-07-25,1969,1976,date 1969 ≠ année dans numéro (1976),False
3630,2.55.571,2-55-571,Loi de finances n°2.55.571 pour l'année 1989,1968-12-28,1968,1955,date 1968 ≠ année dans numéro (1955),False
3631,2.57.1691,2-57-1691,Décret royal fixant pour une période de six mois l'application du régime des san,1968-12-23,1968,1957,date 1968 ≠ année dans numéro (1957),False
3635,2.96.937,2-96-937,Décret n°2.96.937 garantissant les emprunts émis par le Crédit Immobilier et Hôt,1968-12-17,1968,1996,date 1968 ≠ année dans numéro (1996),False
3637,2.82.868,2-82-868,Décret accordant la garantie de l'État aux emprunts émis par le Crédit Immobilie,1968-12-17,1968,1982,date 1968 ≠ année dans numéro (1982),False
3639,2.81.234,2-81-234,Décret royal portant création et organisation des écoles de formation des assist,1968-11-20,1968,1981,date 1968 ≠ année dans numéro (1981),False
3640,2.64.036,2-64-036,Décret royal portant réévaluation des rentes allouées aux victimes d'accidents d,1968-08-26,1968,1964,date 1968 ≠ année dans numéro (1964),False
3641,2.57.0031,2-57-0031,Décret royal fixant les montants des bourses et frais d'études dans l'enseigneme,1968-08-26,1968,1957,date 1968 ≠ année dans numéro (1957),False
3643,344-62-2,344-62-2,Décret royal fixant les dispositions applicables aux fonctionnaires stagiaires d,1968-05-17,1968,1962,date 1968 ≠ année dans numéro (1962),False
3646,1.74.448,1-74-448,Demandes successives de mise en liberté provisoire au cours d'une même instructi,1967-10-09,1967,1974,date 1967 ≠ année dans numéro (1974),False
3647,2.18.855,2-18-855,Décret n° 2.18.855 relatif à l'heure légale,1967-06-02,1967,2018,date 1967 ≠ année dans numéro (2018),False
3648,2.11.170,2-11-170,Décret n° 2.11.170 relatif au changement de l'heure légale,1967-06-02,1967,2011,date 1967 ≠ année dans numéro (2011),False
3650,2.73.365,2-73-365,Décret n° 2.73.365 autorisant la vente de collections métalliques et le paiement,1967-04-21,1967,1973,date 1967 ≠ année dans numéro (1973),False
3651,1.76.629,1-76-629,Décret royal portant loi organique relative à la comptabilité publique,1967-04-21,1967,1976,date 1967 ≠ année dans numéro (1976),False
3652,2.76.151,2-76-151,Décret n° 2.76.151 autorisant la vente des publications éditées par le ministère,1967-04-21,1967,1976,date 1967 ≠ année dans numéro (1976),False
3653,2.75.686,2-75-686,Décret n° 2.75.686 relatif à l'indemnité de garde allouée aux agents chargés de ,1967-03-30,1967,1975,date 1967 ≠ année dans numéro (1975),False
3654,2.70.651,2-70-651,Décret n° 2.70.651 portant création de l'École Royale Forestière de Salé,1967-03-09,1967,1970,date 1967 ≠ année dans numéro (1970),False
3655,2.01.12,2-01-12,Décret n° 2.01.12 relatif au statut particulier des agents diplomatiques et cons,1967-03-09,1967,2001,date 1967 ≠ année dans numéro (2001),False
